Loading corpus at level h1 ...
  5 clusters, 1,986,659 documents (smallest 340221, largest 454264)

Running intrusion | level=h1 | model=deepseek-v4-flash | prompt=decisive | trials=1000 | seed=20250628

Trial    1 | true=4 pred=5 |  X
Trial  666 | true=1 pred=1 | OK [reasoning] [truncated]
Trial  667 | true=4 pred=5 |  X
Trial  668 | true=1 pred=1 | OK
Trial  669 | true=2 pred=2 | OK
Trial  670 | true=1 pred=1 | OK
Trial  671 | true=2 pred=4 |  X
Trial  672 | true=2 pred=1 |  X
Trial  673 | true=1 pred=2 |  X
Trial  674 | true=4 pred=3 |  X
Trial  675 | true=1 pred=2 |  X
Trial  676 | true=1 pred=4 |  X
Trial  677 | true=2 pred=1 |  X
Trial  678 | true=4 pred=4 | OK
Trial  679 | true=2 pred=5 |  X
Trial  680 | true=1 pred=5 |  X [truncated]
Trial  681 | true=3 pred=3 | OK
Trial  682 | true=5 pred=1 |  X
Trial  683 | true=2 pred=1 |  X [truncated]
Trial  684 | true=4 pred=5 |  X
Trial  685 | true=1 pred=1 | OK [truncated]
Trial  686 | true=1 pred=5 |  X
Trial  687 | true=5 pred=4 |  X
Trial  688 | true=5 pred=4 |  X
Trial  689 | true=5 pred=4 |  X
Trial  690 | true=4 pred=2 |  X
Trial  691 | true=5 pred=5 | OK
Trial  692 | true=1 pred=5 |  X [truncated]
Trial  693 | true=4 pred=1 |  X
Trial  694 | true=5 pred=4 |  X
Trial  695 | true=2 pred=2 | OK
Trial  696 | true=2 pred=1 |  X
Trial  697 | true=2 pred=1 |  X [truncated]
Trial  698 | true=1 pred=5 |  X
Trial  699 | true=3 pred=5 |  X [truncated]
Trial  700 | true=5 pred=5 | OK
Trial  701 | true=1 pred=3 |  X
Trial  702 | true=3 pred=3 | OK
Trial  703 | true=2 pred=5 |  X [truncated]
Trial  704 | true=3 pred=3 | OK
Trial  705 | true=5 pred=5 | OK
Trial  706 | true=4 pred=4 | OK
Trial  707 | true=5 pred=5 | OK
Trial  708 | true=5 pred=3 |  X
Trial  709 | true=1 pred=4 |  X
Trial  710 | true=4 pred=4 | OK
Trial  711 | true=3 pred=3 | OK
Trial  712 | true=2 pred=4 |  X
Trial  713 | true=2 pred=2 | OK
Trial  714 | true=3 pred=3 | OK
Trial  715 | true=4 pred=4 | OK
Trial  716 | true=5 pred=2 |  X
Trial  717 | true=4 pred=4 | OK
Trial  718 | true=4 pred=2 |  X
Trial  719 | true=5 pred=2 |  X
Trial  720 | true=4 pred=4 | OK
Trial  721 | true=2 pred=2 | OK [reasoning] [truncated]
Trial  722 | true=4 pred=1 |  X
Trial  723 | true=2 pred=5 |  X
Trial  724 | true=1 pred=1 | OK
Trial  725 | true=5 pred=3 |  X
Trial  726 | true=4 pred=4 | OK
Trial  727 | true=5 pred=5 | OK [truncated]
Trial  728 | true=2 pred=5 |  X
Trial  729 | true=1 pred=3 |  X
Trial  730 | true=3 pred=2 |  X
Trial  731 | true=4 pred=4 | OK
Trial  732 | true=3 pred=2 |  X
Trial  733 | true=3 pred=3 | OK
Trial  734 | true=1 pred=1 | OK
Trial  735 | true=3 pred=3 | OK
Trial  736 | true=2 pred=5 |  X [truncated]
Trial  737 | true=2 pred=2 | OK
Trial  738 | true=4 pred=4 | OK
Trial  739 | true=3 pred=5 |  X
Trial  740 | true=3 pred=2 |  X
Trial  741 | true=1 pred=5 |  X
Trial  742 | true=1 pred=1 | OK [truncated]
Trial  743 | true=4 pred=1 |  X
Trial  744 | true=5 pred=5 | OK
Trial  745 | true=3 pred=3 | OK [reasoning] [truncated]
Trial  746 | true=2 pred=5 |  X [reasoning] [truncated]
Trial  747 | true=3 pred=3 | OK
Trial  748 | true=1 pred=1 | OK
Trial  749 | true=4 pred=4 | OK
Trial  750 | true=4 pred=5 |  X
Trial  751 | true=5 pred=1 |  X
Trial  752 | true=4 pred=4 | OK
Trial  753 | true=2 pred=2 | OK
Trial  754 | true=3 pred=2 |  X
Trial  755 | true=4 pred=2 |  X
Trial  756 | true=3 pred=3 | OK
Trial  757 | true=4 pred=4 | OK
Trial  758 | true=5 pred=5 | OK
Trial  759 | true=3 pred=1 |  X
Trial  760 | true=2 pred=5 |  X
Trial  761 | true=5 pred=5 | OK
Trial  762 | true=1 pred=1 | OK [reasoning] [truncated]
Trial  763 | true=5 pred=2 |  X
Trial  764 | true=2 pred=5 |  X [truncated]
Trial  765 | true=4 pred=1 |  X
Trial  766 | true=1 pred=2 |  X
Trial  767 | true=5 pred=3 |  X
Trial  768 | true=3 pred=3 | OK
Trial  769 | true=3 pred=5 |  X
Trial  770 | true=4 pred=3 |  X
Trial  771 | true=4 pred=4 | OK
Trial  772 | true=5 pred=5 | OK
Trial  773 | true=1 pred=4 |  X
Trial  774 | true=5 pred=3 |  X [truncated]
Trial  775 | true=2 pred=1 |  X
Trial  776 | true=3 pred=2 |  X
Trial  777 | true=2 pred=5 |  X
Trial  778 | true=3 pred=3 | OK
Trial  779 | true=4 pred=4 | OK
Trial  780 | true=2 pred=5 |  X
Trial  781 | true=5 pred=5 | OK
Trial  782 | true=5 pred=4 |  X [truncated]
Trial  783 | true=1 pred=1 | OK
Trial  784 | true=2 pred=1 |  X
Trial  785 | true=4 pred=4 | OK
Trial  786 | true=4 pred=4 | OK
Trial  787 | true=1 pred=4 |  X
Trial  788 | true=5 pred=1 |  X
Trial  789 | true=2 pred=2 | OK
Trial  790 | true=4 pred=4 | OK
Trial  791 | true=3 pred=1 |  X
Trial  792 | true=1 pred=4 |  X
Trial  793 | true=4 pred=4 | OK
Trial  794 | true=5 pred=4 |  X
Trial  795 | true=5 pred=3 |  X
Trial  796 | true=2 pred=2 | OK
Trial  797 | true=3 pred=1 |  X
Trial  798 | true=2 pred=2 | OK
Trial  799 | true=1 pred=1 | OK
Trial  800 | true=3 pred=1 |  X
Trial  801 | true=2 pred=4 |  X
Trial  802 | true=2 pred=3 |  X
Trial  803 | true=3 pred=2 |  X [truncated]
Trial  804 | true=3 pred=5 |  X
Trial  805 | true=3 pred=3 | OK
Trial  806 | true=4 pred=4 | OK
Trial  807 | true=4 pred=4 | OK
Trial  808 | true=5 pred=2 |  X
Trial  809 | true=4 pred=1 |  X
Trial  810 | true=1 pred=1 | OK
Trial  811 | true=3 pred=4 |  X
Trial  812 | true=1 pred=1 | OK
Trial  813 | true=1 pred=1 | OK
Trial  814 | true=5 pred=1 |  X
Trial  815 | true=1 pred=2 |  X
Trial  816 | true=1 pred=4 |  X [truncated]
Trial  817 | true=4 pred=3 |  X
Trial  818 | true=4 pred=2 |  X
Trial  819 | true=3 pred=2 |  X
Trial  820 | true=4 pred=1 |  X
Trial  821 | true=2 pred=2 | OK
Trial  822 | true=2 pred=1 |  X
Trial  823 | true=4 pred=5 |  X
Trial  824 | true=2 pred=1 |  X
Trial  825 | true=3 pred=3 | OK
Trial  826 | true=3 pred=3 | OK
Trial  827 | true=3 pred=3 | OK
Trial  828 | true=3 pred=5 |  X [truncated]
Trial  829 | true=4 pred=4 | OK
Trial  830 | true=2 pred=2 | OK
Trial  831 | true=3 pred=5 |  X [truncated]
Trial  832 | true=2 pred=4 |  X
Trial  833 | true=3 pred=3 | OK
Trial  834 | true=1 pred=3 |  X
Trial  835 | true=3 pred=4 |  X
Trial  836 | true=1 pred=4 |  X
Trial  837 | true=4 pred=4 | OK
Trial  838 | true=1 pred=1 | OK
Trial  839 | true=2 pred=4 |  X
Trial  840 | true=3 pred=1 |  X
Trial  841 | true=1 pred=5 |  X [truncated]
Trial  842 | true=3 pred=3 | OK
Trial  843 | true=1 pred=2 |  X
Trial  844 | true=4 pred=2 |  X
Trial  845 | true=5 pred=2 |  X [truncated]
Trial  846 | true=5 pred=3 |  X
Trial  847 | true=5 pred=5 | OK
Trial  848 | true=1 pred=5 |  X [truncated]
Trial  849 | true=5 pred=4 |  X
Trial  850 | true=5 pred=4 |  X
Trial  851 | true=3 pred=3 | OK
Trial  852 | true=1 pred=2 |  X
Trial  853 | true=1 pred=1 | OK
Trial  854 | true=1 pred=1 | OK [truncated]
Trial  855 | true=4 pred=3 |  X
Trial  856 | true=3 pred=3 | OK
Trial  857 | true=4 pred=4 | OK
Trial  858 | true=4 pred=5 |  X
Trial  859 | true=1 pred=2 |  X
Trial  860 | true=5 pred=5 | OK
Trial  861 | true=1 pred=4 |  X
Trial  862 | true=4 pred=3 |  X
Trial  863 | true=4 pred=3 |  X [truncated]
Trial  864 | true=2 pred=4 |  X
Trial  865 | true=2 pred=1 |  X
Trial  866 | true=1 pred=5 |  X [truncated]
Trial  867 | true=5 pred=1 |  X
Trial  868 | true=4 pred=4 | OK
Trial  869 | true=5 pred=1 |  X
Trial  870 | true=3 pred=4 |  X [reasoning] [truncated]
Trial  871 | true=3 pred=2 |  X
Trial  872 | true=3 pred=3 | OK
Trial  873 | true=5 pred=5 | OK [truncated]
Trial  874 | true=1 pred=5 |  X
Trial  875 | true=1 pred=2 |  X
Trial  876 | true=1 pred=1 | OK
Trial  877 | true=5 pred=2 |  X
Trial  878 | true=5 pred=5 | OK
Trial  879 | true=2 pred=2 | OK
Trial  880 | true=4 pred=4 | OK
Trial  881 | true=1 pred=1 | OK
Trial  882 | true=4 pred=5 |  X
Trial  883 | true=4 pred=4 | OK
Trial  884 | true=3 pred=2 |  X
Trial  885 | true=4 pred=2 |  X
Trial  886 | true=5 pred=2 |  X
Trial  887 | true=3 pred=3 | OK
Trial  888 | true=5 pred=5 | OK
Trial  889 | true=2 pred=3 |  X
Trial  890 | true=2 pred=5 |  X [truncated]
Trial  891 | true=1 pred=2 |  X
Trial  892 | true=2 pred=5 |  X
Trial  893 | true=3 pred=4 |  X
Trial  894 | true=1 pred=1 | OK [reasoning] [truncated]
Trial  895 | true=2 pred=2 | OK
Trial  896 | true=4 pred=4 | OK
Trial  897 | true=2 pred=2 | OK
Trial  898 | true=2 pred=2 | OK
Trial  899 | true=1 pred=1 | OK
Trial  900 | true=1 pred=5 |  X
Trial  901 | true=3 pred=4 |  X
Trial  902 | true=5 pred=5 | OK [truncated]
Trial  903 | true=1 pred=2 |  X [reasoning] [truncated]
Trial  904 | true=5 pred=3 |  X
Trial  905 | true=3 pred=3 | OK
Trial  906 | true=3 pred=3 | OK
Trial  907 | true=4 pred=4 | OK
Trial  908 | true=2 pred=5 |  X
Trial  909 | true=4 pred=5 |  X
Trial  910 | true=4 pred=4 | OK
Trial  911 | true=1 pred=2 |  X
Trial  912 | true=1 pred=5 |  X [truncated]
Trial  913 | true=5 pred=5 | OK
Trial  914 | true=2 pred=2 | OK
Trial  915 | true=5 pred=2 |  X
Trial  916 | true=5 pred=4 |  X
Trial  917 | true=5 pred=3 |  X [truncated]
Trial  918 | true=3 pred=1 |  X
Trial  919 | true=2 pred=1 |  X
Trial  920 | true=4 pred=5 |  X
Trial  921 | true=3 pred=5 |  X
Trial  922 | true=5 pred=5 | OK
Trial  923 | true=1 pred=1 | OK
Trial  924 | true=2 pred=2 | OK
Trial  925 | true=4 pred=5 |  X
Trial  926 | true=2 pred=1 |  X
Trial  927 | true=2 pred=4 |  X
Trial  928 | true=5 pred=5 | OK
Trial  929 | true=4 pred=3 |  X
Trial  930 | true=5 pred=3 |  X
Trial  931 | true=2 pred=5 |  X [truncated]
Trial  932 | true=1 pred=1 | OK
Trial  933 | true=2 pred=5 |  X [truncated]
Trial  934 | true=4 pred=3 |  X
Trial  935 | true=1 pred=5 |  X
Trial  936 | true=1 pred=1 | OK
Trial  937 | true=1 pred=1 | OK
Trial  938 | true=1 pred=1 | OK
Trial  939 | true=2 pred=4 |  X
Trial  940 | true=1 pred=1 | OK
Trial  941 | true=4 pred=2 |  X
Trial  942 | true=5 pred=2 |  X
Trial  943 | true=5 pred=5 | OK
Trial  944 | true=4 pred=1 |  X
Trial  945 | true=4 pred=5 |  X [truncated]
Trial  946 | true=5 pred=4 |  X [truncated]
Trial  947 | true=4 pred=1 |  X [truncated]
Trial  948 | true=1 pred=5 |  X
Trial  949 | true=2 pred=3 |  X
Trial  950 | true=1 pred=5 |  X
Trial  951 | true=3 pred=3 | OK [truncated]
Trial  952 | true=2 pred=5 |  X [truncated]
Trial  953 | true=5 pred=2 |  X
Trial  954 | true=5 pred=1 |  X
Trial  955 | true=4 pred=2 |  X
Trial  956 | true=5 pred=5 | OK
Trial  957 | true=2 pred=1 |  X
Trial  958 | true=4 pred=4 | OK
Trial  959 | true=4 pred=5 |  X
Trial  960 | true=4 pred=3 |  X
Trial  961 | true=3 pred=4 |  X
Trial  962 | true=2 pred=2 | OK
Trial  963 | true=4 pred=4 | OK
Trial  964 | true=4 pred=4 | OK
Trial  965 | true=4 pred=4 | OK
Trial  966 | true=4 pred=3 |  X
Trial  967 | true=2 pred=2 | OK
Trial  968 | true=5 pred=4 |  X
Trial  969 | true=4 pred=4 | OK
Trial  970 | true=2 pred=2 | OK
Trial  971 | true=2 pred=3 |  X
Trial  972 | true=3 pred=3 | OK
Trial  973 | true=2 pred=5 |  X [truncated]
Trial  974 | true=3 pred=4 |  X
Trial  975 | true=5 pred=5 | OK
Trial  976 | true=5 pred=4 |  X
Trial  977 | true=2 pred=2 | OK
Trial  978 | true=4 pred=1 |  X
Trial  979 | true=3 pred=2 |  X
Trial  980 | true=1 pred=1 | OK
Trial  981 | true=5 pred=2 |  X
Trial  982 | true=4 pred=4 | OK
Trial  983 | true=3 pred=3 | OK
Trial  984 | true=3 pred=5 |  X
Trial  985 | true=2 pred=3 |  X
Trial  986 | true=5 pred=4 |  X
Trial  987 | true=3 pred=5 |  X
Trial  988 | true=1 pred=4 |  X
Trial  989 | true=1 pred=1 | OK [reasoning] [truncated]
Trial  990 | true=1 pred=1 | OK
Trial  991 | true=3 pred=4 |  X
Trial  992 | true=4 pred=4 | OK
Trial  993 | true=5 pred=5 | OK
Trial  994 | true=5 pred=5 | OK
Trial  995 | true=2 pred=5 |  X
Trial  996 | true=1 pred=1 | OK
Trial  997 | true=2 pred=1 |  X
Trial  998 | true=4 pred=1 |  X
Trial  999 | true=1 pred=1 | OK
Trial 1000 | true=5 pred=1 |  X

============================================================
            trials_requested: 1000
            trials_completed: 1000
               trials_failed: 0
                     correct: 405
            accuracy_percent: 40.5
     random_baseline_percent: 20.0
    recovered_from_reasoning: 22
       non_explicit_verdicts: 2
         truncated_responses: 127
         forced_choice_calls: 103
              forced_guesses: 0
          unparsed_responses: 0
      extraction_rule_counts: {'final_verdict': 894, 'forced_choice': 103, 'last_digit': 2, 'answer': 1}
              total_cost_usd: 1.079757
============================================================

Reports written:
   json  C:\Users\Administrator\Documents\coding_projects\qss_publication\results\intrusion\intrusion_h1_n1000_decisive.json
  jsonl  C:\Users\Administrator\Documents\coding_projects\qss_publication\results\intrusion\intrusion_h1_n1000_decisive.jsonl
    txt  C:\Users\Administrator\Documents\coding_projects\qss_publication\results\intrusion\intrusion_h1_n1000_decisive.txt
